r  theta   phi  
2.98 0.502655 0.753982 
3.02 0.502655 0.785398 
3.02 0.502655 0.816814 
3.06 0.502655 0.84823 
3.1 0.502655 0.879646 
3.14 0.502655 0.911062 
3.18 0.502655 0.942478 
3.26 0.502655 0.973894 
3.34 0.502655 1.00531 
3.46 0.502655 1.03673 
3.62 0.502655 1.06814 
3.94 0.565487 -1.09956 
3.62 0.565487 -1.06814 
3.42 0.565487 -1.03673 
3.34 0.565487 -1.00531 
3.22 0.565487 -0.973894 
3.18 0.565487 -0.942478 
3.1 0.565487 -0.911062 
3.06 0.565487 -0.879646 
3.02 0.565487 -0.84823 
3.02 0.565487 -0.816814 
2.98 0.565487 -0.785398 
2.98 0.565487 -0.753982 
2.94 0.565487 -0.722566 
2.94 0.565487 -0.69115 
2.94 0.565487 -0.659734 
2.94 0.565487 -0.628319 
2.94 0.565487 -0.596903 
2.98 0.565487 -0.565487 
2.98 0.565487 -0.534071 
2.98 0.565487 -0.502655 
3.02 0.565487 -0.471239 
3.02 0.565487 -0.439823 
3.06 0.565487 -0.408407 
3.1 0.565487 -0.376991 
3.14 0.565487 -0.345575 
3.14 0.565487 -0.314159 
3.18 0.565487 -0.282743 
3.26 0.565487 -0.251327 
3.3 0.565487 -0.219911 
3.34 0.565487 -0.188496 
3.38 0.565487 -0.15708 
3.42 0.565487 -0.125664 
3.46 0.565487 -0.0942478 
3.5 0.565487 -0.0628319 
3.5 0.565487 -0.0314159 
3.54 0.565487 0 
3.5 0.565487 0.0314159 
3.5 0.565487 0.0628319 
3.46 0.565487 0.0942478 
3.42 0.565487 0.125664 
3.38 0.565487 0.15708 
3.34 0.565487 0.188496 
3.3 0.565487 0.219911 
3.26 0.565487 0.251327 
3.18 0.565487 0.282743 
3.14 0.565487 0.314159 
3.14 0.565487 0.345575 
3.1 0.565487 0.376991 
3.06 0.565487 0.408407 
3.02 0.565487 0.439823 
3.02 0.565487 0.471239 
2.98 0.565487 0.502655 
2.98 0.565487 0.534071 
2.98 0.565487 0.565487 
2.94 0.565487 0.596903 
2.94 0.565487 0.628319 
2.94 0.565487 0.659734 
2.94 0.565487 0.69115 
2.94 0.565487 0.722566 
2.98 0.565487 0.753982 
2.98 0.565487 0.785398 
3.02 0.565487 0.816814 
3.02 0.565487 0.84823 
3.06 0.565487 0.879646 
3.1 0.565487 0.911062 
3.18 0.565487 0.942478 
